FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,VINTAGE,VINTAGE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
A,Annual,AFG,Afghanistan,WB_MPO_GGDBTTOTLCD_,"General Government Debt Stock (Millions of Current USD), % of GDP",PT_GDP,Percentage of GDP,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,WB_MPO,Macro Poverty Outlook,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.700000597,7.500000603,6.800000082,6.900000633,8.700000535,6.826155341,6.535833607,6.623668662,5.789094967,7.123649562,8.200762875,12.71804425,13.9186732,13.63622353,14.74833685,13.61311817,11.67384625,9.14157043,8.320766645
A,Annual,AGO,Angola,WB_MPO_GGDBTTOTLCD_,"General Government Debt Stock (Millions of Current USD), % of GDP",PT_GDP,Percentage of GDP,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,WB_MPO,Macro Poverty Outlook,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,128.5749921,60.29850704,48.31563723,40.48938332,29.41940739,16.45985418,18.68851849,27.75869849,48.29503514,32.74036358,26.52337025,23.96255962,28.98213814,35.14762881,49.71402797,66.24682969,57.21535669,79.28867062,105.868982,115.9231626,73.72956872,55.56179439,70.63827853,59.28520405,52.26713412,50.07650275,49.14763929,49.660783
A,Annual,ALB,Albania,WB_MPO_GGDBTTOTLCD_,"General Government Debt Stock (Millions of Current USD), % of GDP",PT_GDP,Percentage of GDP,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,WB_MPO,Macro Poverty Outlook,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.25729534,56.95734596,59.03254703,62.51642728,70.29626343,71.66978898,72.20567427,71.6661711,68.91262973,66.6709403,64.98839852,73.94215456,74.08586262,64.12984751,57.64250096,54.21375364,52.88087425,52.71800152,52.14204512,50.85649885
A,Annual,ARE,United Arab Emirates,WB_MPO_GGDBTTOTLCD_,"General Government Debt Stock (Millions of Current USD), % of GDP",PT_GDP,Percentage of GDP,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,WB_MPO,Macro Poverty Outlook,0,Units,A,Normal value,PU,Public,2.382637322,2.15630959,2.334945064,2.866901823,3.257075215,3.69016124,4.8113899,4.864108377,5.259422807,4.931661796,4.298223692,4.752844977,5.086115556,5.6340014,5.40034052,4.882079304,3.44581821,2.799146861,4.159422758,4.725176219,3.079500703,2.689688254,3.427225391,3.332004853,4.079685385,4.48156088,5.051714859,8.890547584,8.949136918,21.1360539,18.33751911,20.40716844,20.22685376,15.25234924,13.46645072,15.61127585,18.63803755,21.16714836,20.67509089,25.8167656,40.20135303,35.6673606,31.51322401,31.90894273,31.2277094,29.86052966,29.1363085,28.40600395,28.12899033
A,Annual,ARG,Argentina,WB_MPO_GGDBTTOTLCD_,"General Government Debt Stock (Millions of Current USD), % of GDP",PT_GDP,Percentage of GDP,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,WB_MPO,Macro Poverty Outlook,0,Units,A,Normal value,PU,Public,,,,,63.49109113,71.99005811,57.24899769,77.61784173,63.98986761,125.2456383,50.2244555,36.45109658,27.9079413,30.06786326,31.78216283,34.37987101,36.39392717,35.41567785,38.17850779,43.51181386,45.65385825,53.67462508,164.5823669,139.9391343,123.4423043,99.56900071,86.97013862,75.20275609,62.41982908,63.58871009,51.54364289,45.18984545,46.03193356,49.04724672,49.91484737,58.34817184,59.45186121,63.60126808,94.89173041,99.61694754,114.6489051,88.78632133,92.22059904,170.017593,88.47101303,80.31600495,68.58521283,64.6952476,61.24805825
A,Annual,ARM,Armenia,WB_MPO_GGDBTTOTLCD_,"General Government Debt Stock (Millions of Current USD), % of GDP",PT_GDP,Percentage of GDP,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,WB_MPO,Macro Poverty Outlook,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,40.78195167,46.50325449,45.18924565,39.19079771,39.78067866,38.19765865,38.10504835,32.87956407,26.43190648,20.41588148,16.61902253,14.53929865,14.87140633,34.58060746,34.05967012,35.91365238,35.73136327,36.33062597,39.3616348,44.13299226,51.92890445,53.70443613,51.22975681,50.08589827,63.47380821,60.21126701,46.69422899,48.16369884,48.00007813,46.83015417,50.01257539,51.29550593,51.25294573
A,Annual,ATG,Antigua and Barbuda,WB_MPO_GGDBTTOTLCD_,"General Government Debt Stock (Millions of Current USD), % of GDP",PT_GDP,Percentage of GDP,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,WB_MPO,Macro Poverty Outlook,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,89.64678777,100.8492187,108.5193678,117.4518631,119.46908,91.39431259,82.66659192,72.24961594,72.63394381,79.63835605,74.42648785,77.35331844,72.90932053,78.66710698,82.38620642,69.74238665,66.29150752,65.99700736,63.08651479,62.01918937,77.09130144,77.48432827,72.02791427,68.73146908,64.33161958,87.03688898,82.56599764,78.32476605,74.30139709
A,Annual,AUS,Australia,WB_MPO_GGDBTTOTLCD_,"General Government Debt Stock (Millions of Current USD), % of GDP",PT_GDP,Percentage of GDP,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,WB_MPO,Macro Poverty Outlook,0,Units,A,Normal value,PU,Public,,,,,,,,,,17.01645345,16.40664977,21.60707396,27.63162458,30.66496693,31.70898106,31.14296049,29.34518685,25.90716747,23.69814265,22.54395474,19.49532243,17.10566484,15.01037869,13.18630622,11.90726445,10.85811182,9.937795026,9.665447196,11.74166199,16.62220595,20.34959566,24.04051467,27.52147115,30.46657169,34.03627167,37.72601293,40.62094774,41.19552985,41.7581237,46.71984766,57.07727946,55.51576848,50.21326754,49.58182896,50.71520003,51.03732905,50.68187625,50.41133557,50.01504544
A,Annual,AUT,Austria,WB_MPO_GGDBTTOTLCD_,"General Government Debt Stock (Millions of Current USD), % of GDP",PT_GDP,Percentage of GDP,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,WB_MPO,Macro Poverty Outlook,0,Units,A,Normal value,PU,Public,,,,,,,,,57.68059845,56.64183728,56.2394819,56.44305347,56.33600745,60.96244314,64.07142706,68.23816893,68.18032091,63.37317278,69.19655193,61.3395563,66.10888164,67.23835581,67.44031998,66.41181773,65.91206431,69.42759208,68.17641697,65.81311245,69.52805964,80.75232793,83.65396976,83.35607532,82.93549942,82.43083492,85.20980972,85.61476949,83.41906459,79.05718266,74.58624517,71.00585585,83.1830424,82.39452274,78.37616075,78.50781063,80.78923983,82.02459927,82.95391356,83.64419809,83.87225477
A,Annual,AZE,Azerbaijan,WB_MPO_GGDBTTOTLCD_,"General Government Debt Stock (Millions of Current USD), % of GDP",PT_GDP,Percentage of GDP,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,WB_MPO,Macro Poverty Outlook,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,19.20911051,16.72041884,12.4653483,13.75527832,25.41347003,13.13324442,12.95432312,11.88518936,10.65891842,9.709979508,6.8546552,5.296648376,4.003317909,3.220765186,4.726182379,4.980865937,4.966863696,20.51390981,20.51390867,20.51390877,20.51390928,20.51390862,20.51390892,20.513909,20.57565513,23.25808677,18.17169476,11.66321457,21.82957794,21.66235557,22.20867803,22.63455453,23.70079659,22.51770475
A,Annual,BDI,Burundi,WB_MPO_GGDBTTOTLCD_,"General Government Debt Stock (Millions of Current USD), % of GDP",PT_GDP,Percentage of GDP,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,WB_MPO,Macro Poverty Outlook,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.27065959,21.82153648,37.97066917,39.93100631,46.11901511,46.90224442,52.97086888,59.98776786,65.96554193,66.56630134,70.18510849,68.35552994,69.04444404,67.07586399,65.3456986,62.58037588,59.49854461
A,Annual,BEL,Belgium,WB_MPO_GGDBTTOTLCD_,"General Government Debt Stock (Millions of Current USD), % of GDP",PT_GDP,Percentage of GDP,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,WB_MPO,Macro Poverty Outlook,0,Units,A,Normal value,PU,Public,76.79646812,89.68563769,99.63350784,110.2868797,114.6118431,119.3872193,124.6697146,129.2271265,129.6855866,126.4072339,130.3069864,131.7965943,134.6833701,138.9252312,137.0827538,131.2860468,129.0039573,124.2711991,119.1858966,115.3618535,109.5890411,108.216846,105.43668,101.6593113,97.16966512,95.14187016,91.49441336,87.32462407,93.15977859,99.85304902,100.2450157,102.7353352,104.3347356,105.0324745,106.5549846,105.5720536,105.4751008,102.4852957,100.0783474,97.57261506,111.245283,108.5405111,102.7010342,103.2490666,104.7053267,107.5022935,110.4589188,113.1043813,116.0000286
A,Annual,BEN,Benin,WB_MPO_GGDBTTOTLCD_,"General Government Debt Stock (Millions of Current USD), % of GDP",PT_GDP,Percentage of GDP,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,WB_MPO,Macro Poverty Outlook,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.17754762,19.54020768,18.50374648,22.28207395,30.90023442,35.92334976,39.59846316,41.04745437,41.22964235,46.14207668,55.5672507,59.73497024,61.32408697,60.51840259,56.81135525,56.72275462,54.93030584,53.17387252
A,Annual,BFA,Burkina Faso,WB_MPO_GGDBTTOTLCD_,"General Government Debt Stock (Millions of Current USD), % of GDP",PT_GDP,Percentage of GDP,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,WB_MPO,Macro Poverty Outlook,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,43.28694197,39.65816218,40.7404763,39.21402726,20.08884922,22.41608797,24.867871,25.87120081,23.69432236,24.50360166,33.39824367,33.39824367,33.39824367,33.39824554,33.39824367,33.39824367,38.15905142,41.88622343,43.85029337,55.47858853,59.16463495,56.81429107,57.24511368,53.22109233,52.23253554,50.578315,49.68705302
