STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MLI,WB_WDI_FS_AST_PRVT_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Mali,Domestic credit to private sector (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,11.162443448040326,7.631676981069045,11.080278615987986,11.804847854502087,12.715251706381265,13.83183455884195,17.22395114795251,26.312278861842792,28.688943399563314,27.312201344326542,20.682254764871423,23.841107555707787,22.420377494680803,14.349818454822522,14.390979892639896,17.203932068079357,17.822250317408294,11.641742395654079,11.663787284618376,13.51365759088871,13.053485000401063,8.717616723960006,9.35723971342507,9.543143142229532,8.560605320190682,9.501463403029682,9.264552406807104,5.894308705894832,7.826837022817412,9.044917189649983,10.05508555286511,11.094402736668773,11.58362240737414,11.375272724938277,11.370557876647748,12.764998909180978,14.850917880861115,15.073686770617003,12.310501952254912,13.408075078041007,13.319522226346688,13.129688341768993,12.957383676137304,13.382717876524918,14.409566003843896,14.551666699262416,15.84263380454358,17.288812403935502,18.967391475420655,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CRI,WB_WDI_FS_AST_PRVT_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Costa Rica,Domestic credit to private sector (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.86021913381689,37.86298409256849,43.77237764398468,49.380606242038674,47.65335107895759,44.31413316511183,46.02004275416414,47.45132058238665,49.72992436114036,53.09844531196806,55.12724843020936,58.63805377255198,59.68590601344474,60.304459465327,56.178106505074474,60.13553308680761,56.589569581111036,52.66219906053434,51.11969327656033,51.96112371995898
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COL,WB_WDI_FS_AST_PRVT_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Colombia,Domestic credit to private sector (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,22.94862543790449,24.272706354163244,24.32805445741421,22.591354493342983,20.51699860305839,20.642110831900542,21.294944395169544,21.568209788885735,23.527836707791806,25.61399112129457,25.802151120751986,23.7019360301759,21.75314059088464,19.003536765915445,29.6184053799196,29.78662480128756,28.5948860540703,27.361321957630206,27.808094013438346,27.19737352342707,30.464622925281642,32.82226457592473,34.17445575177652,36.732274943789356,37.32248539121668,35.62752082560141,,25.489981877537847,23.22072450668073,,25.91059165491651,23.404309176002823,25.242160027577633,28.67135264504946,31.073612725016748,33.663429584506865,35.323482630152185,36.47584514318473,35.218550519470206,31.654183439448968,20.947474392953566,21.906612599265713,21.52330895696547,21.076235013531292,22.199138656600066,22.75271860895064,27.329327199608755,30.56656822340691,31.342882128383142,30.058849809334014,32.35295863779694,34.959973887777515,37.74485152628765,39.483691691345804,42.38460569700119,46.905393599856836,47.05419780523523,49.80542139861615,45.87070747287139,46.041578106770885,51.99877906108159,47.9124060650503,44.18831295917582,41.65792119671865,39.53257606072829
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SGP,WB_WDI_FS_AST_PRVT_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Singapore,Domestic credit to private sector (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,33.67746529013884,37.92196405085489,37.27041158332216,37.48063401263258,35.779308161165204,38.2870497662909,41.800326688052266,45.311516677155446,44.87799246742377,50.25113522758754,59.08268882988958,53.314525305110905,56.006759562085264,57.34033619046349,58.172100873223584,60.19392062124401,64.58952188144477,68.90713424250859,75.3426462836057,80.12077266253105,85.60880760943823,85.32868124916129,87.60535254559159,84.35001846295305,80.57607657603266,76.3526930339888,79.54035737295807,79.16467472333858,79.87110212521071,81.0855367745248,80.97170126354251,81.19024053932552,88.2934969585412,93.74180642994551,96.47030492841596,107.93107365817993,102.70730414864704,96.05246316541933,115.02396734076885,102.02422357287138,104.78280063414844,95.72896576198485,89.2233561956159,84.28705599791327,85.35175960477834,97.86436233124142,96.86137654947245,94.85840269790118,104.70367384157744,112.97354316573586,124.06595156861935,128.129763309946,122.42135384576144,123.48306625154576,120.83577492940705,117.70538391205636,119.4675416900194,129.19083159456557,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,RWA,WB_WDI_FS_AST_PRVT_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Rwanda,Domestic credit to private sector (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,0.9384615817751499,1.1021506857729415,1.9814612684894701,1.4677862470534442,1.3583041553456747,1.6581872742293102,2.4065483654420636,2.907332485961898,2.036563948425161,3.660246051649428,6.190027570256578,3.142505157698415,3.418781420651119,5.524361609625108,5.896606334269946,4.418009755982075,5.747291437160076,6.092547342568063,6.129216996190216,5.871269813842453,6.453670537515217,7.718798255478594,7.8890921182103195,7.921321017582734,9.00600679471533,9.221565942627436,6.920655554716058,5.119700284078793,5.6751606061601985,6.3291451837982375,9.88227976584186,8.414882651260115,6.806435990359426,8.09027398245172,8.759214221648653,8.363668731086015,8.732255491485404,9.078819150081738,9.424351806886017,8.929573516938163,9.831252551590602,10.310898475121181,11.768879074731938,12.03344231382052,13.364283387507307,11.160283939508696,11.491303909602607,13.266031975478965,15.75152028700105,16.21647936569575,17.630396151849276,20.999707903327174,20.475172421464112,20.594411200892683,21.399884883840592,21.460547085145606,25.05106890760787,25.343151538573878,22.846631700882124,22.354615693548848,22.609705214156765
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GNB,WB_WDI_FS_AST_PRVT_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Guinea-Bissau,Domestic credit to private sector (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,7.477975716952388,6.432786226314306,6.502738830907767,6.784976026394288,8.464787109290205,5.128974772907283,3.907178957303243,4.572881939672425,5.4958790300721745,3.339127898849703,2.574597273520461,2.7244383153296146,3.601910306479514,2.7638031181652383,4.361207843675806,1.4678920314361104,1.3003729790079723,0.8257543207471796,0.7332240430161093,0.9990298207967669,1.9084733022775666,2.904109145503791,4.382572043591927,5.271855512990596,5.53699226253637,9.923529893019282,11.986919247494672,12.144646789077225,10.898451172186663,9.185384476510452,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MWI,WB_WDI_FS_AST_PRVT_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Malawi,Domestic credit to private sector (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,12.58101207402786,11.893039494022917,12.083072242364295,12.178732755660167,9.190375182338046,7.512664388899426,7.370879720814359,5.387819013169652,5.0663567332967,5.999369321949014,6.921527153298883,7.319743079650941,9.37198153332509,5.7653257514232985,7.840391923159682,4.030062637357935,2.768401911391886,2.515651707396014,4.394597257137465,3.262209063063616,3.8506051173674267,3.578623024268436,1.8875191273745298,2.155590372912517,2.527828723756627,2.777933841394499,3.5061678656129684,3.76433782428077,6.262299164137048,7.472584489991458,9.502993442025923,9.57361410198919,10.01467365855621,8.557086084423183,7.835985810162842,9.1724038585019,8.009309219419064,7.478350941831348,6.817648644292919,7.220741695573929,7.853148938031378,8.23959919600957,8.647049075173198,7.747783529723021,7.907234889457608
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IRQ,WB_WDI_FS_AST_PRVT_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Iraq,Domestic credit to private sector (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,9.343941299211469,10.014583863351975,9.902614643056221,10.062560239404464,9.003893696476643,15.219199574560557,14.767377399312906,14.313173078527788,13.61527307878202,13.617575870415195,14.066899906135335,12.480240046838407,12.668127053669224,11.966306584362139,6.96403893087124,7.190448632463578,6.552355521647911,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.266927139741429,1.5561771676886218,2.2639913203792075,2.4758044608196275,2.682220363348908,3.7787301481325315,5.393095630148713,5.414452039957534,5.907559449938353,6.335649161599285,6.8142954506219695,9.875822388924401,10.07668375684991,9.549839732879388,8.580017332662191,8.808960328168466,13.314857683475484,11.195602750283557,9.541256841217818,12.551899319074385,13.991447590259826
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BIH,WB_WDI_FS_AST_PRVT_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Bosnia and Herzegovina,Domestic credit to private sector (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.77516379382845,60.223763080251004,65.61371848139184,64.06832059242534,61.84531111917,60.548843452033296,61.715927164901544,60.834445504943744,60.21667067019186,57.96827388405673,57.17117811313223,57.52365356276433,56.6595114683875,57.16910264965459,57.658561806325594,53.2893802522593,48.099291736180625,47.3447518824995,48.267377161078976
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MOZ,WB_WDI_FS_AST_PRVT_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Mozambique,Domestic credit to private sector (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.687802208458006,12.156629006815763,8.703629638267143,8.623509762315212,8.5930470385248,7.590012434818181,9.188736325713052,9.923992053717464,10.743654050381892,12.166924151638984,9.056738928039367,9.096668112870281,8.083086606055867,6.794929147283754,8.78413449461729,9.893252834473627,10.042135650233568,14.012419566024414,19.551126234297243,21.649186498651883,20.919734128874918,22.431451797652162,26.26115475876964,30.18878179304798,32.05313167304827,31.207887905634507,24.45820645241229,22.129203507103163,21.27915851563914,23.869619269438243,23.020580077500206,20.720836087909937,18.517542400402736,17.612334223530564
