STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MNE,WB_WDI_DT_ODA_ALLD_KD,_T,_T,_T,USD_K_2021,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Montenegro,Net official development assistance and official aid received (constant 2021 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2021 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11708526611328E7,2.55750503540039E7,4768301.96380615,1.18937339782715E8,1.16205406188965E8,1.07072456359863E8,8.10063781738281E7,7.81793365478516E7,1.26435531616211E8,1.0955920410156299E8,1.1743610382080099E8,1.0081902313232401E8,1.1764608001709E8,9.99996032714844E7,1.3457330322265598E8,1.6901625061035198E8,1.08712348937988E8,2.2276109313964802E8,1.3792533874511698E8,1.0897370147705099E8,9.23584136962891E7
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GEO,WB_WDI_DT_ODA_ALLD_KD,_T,_T,_T,USD_K_2021,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Georgia,Net official development assistance and official aid received (constant 2021 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2021 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370398.998260498,2.71558170318604E7,1.86732788085938E8,2.92223693847656E8,3.01798156738281E8,4.46471160888672E8,3.6434976196289104E8,3.185234375E8,3.7104946899414104E8,2.78684753417969E8,4.7766561889648396E8,5.00429504394531E8,3.27175048828125E8,4.2038720703125E8,3.7943359375E8,4.48159362792969E8,4.43636932373047E8,9.75417053222656E8,9.22926696777344E8,6.19763244628906E8,5.95814636230469E8,7.177373046875E8,6.89369873046875E8,5.96269958496094E8,5.22041442871094E8,5.4298583984375E8,5.14539184570313E8,6.44493103027344E8,5.57459411621094E8,1.13100744628906E9,7.89943176269531E8,4.08775634765625E8,3.6521694946289104E8
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,WSM,WB_WDI_DT_ODA_ALLD_KD,_T,_T,_T,USD_K_2021,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Samoa,Net official development assistance and official aid received (constant 2021 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2021 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,257764.011621475,747575.998306274,1375784.9931716898,1660851.95541382,1775689.95952606,3338161.94534302,5805294.03686523,7704477.7870178195,3819494.96269226,6794941.90216064,7250957.96585083,1.56080331802368E7,1.69660224914551E7,2.7024169921875E7,5.5432708740234405E7,4.37753486633301E7,7.07236633300781E7,5.43345260620117E7,7.75227890014648E7,5.75290603637695E7,5.8296604156494096E7,5.92934226989746E7,6.6837432861328095E7,5.0677661895752005E7,5.5500293731689505E7,4.68603935241699E7,6.6950569152832E7,5.01645317077637E7,4.92065963745117E7,5.97095375061035E7,6.6871681213378906E7,7.77624130249023E7,7.18212356567383E7,5.58044090270996E7,5.01059646606445E7,4.1824104309082E7,4.07281646728516E7,5.00503807067871E7,3.93647384643555E7,5.05972328186035E7,6.87789306640625E7,6.02221832275391E7,4.67155952453613E7,4.25965957641602E7,5.19828910827637E7,5.74407958984375E7,4.4174407958984405E7,4.42154922485352E7,7.35954895019531E7,9.71899871826172E7,7.90131683349609E7,1.06509292602539E8,1.0982417297363299E8,9.05621032714844E7,1.0595046234130901E8,9.70397796630859E7,1.4433074951171902E8,1.32679290771484E8,1.28945709228516E8,1.80785522460938E8,8.336273193359381E7,1.3135661315918E8,1.17172477722168E8
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GAB,WB_WDI_DT_ODA_ALLD_KD,_T,_T,_T,USD_K_2021,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Gabon,Net official development assistance and official aid received (constant 2021 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2021 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,206476.002931595,6154176.23519897,2.76627349853516E7,3.84040298461914E7,1.23010589599609E8,1.03892425537109E8,1.0366567230224599E8,1.10000061035156E8,9.85951232910156E7,1.3436434936523402E8,1.6973004150390598E8,1.5915533447265598E8,1.5985830688476598E8,2.1174267578125E8,1.09191215515137E8,2.2274522399902302E8,1.15012580871582E8,8.95748825073242E7,1.2620957946777299E8,9.43070373535156E7,1.2361355590820299E8,1.0700744628906299E8,1.63248031616211E8,1.7840931701660198E8,2.2415243530273402E8,1.79107192993164E8,1.7259722900390598E8,1.52287567138672E8,1.8614826965332E8,2.36327423095703E8,1.99357788085938E8,2.1695918273925802E8,9.74153366088867E7,1.48682403564453E8,2.60408294677734E8,1.9022650146484402E8,1.657119140625E8,5.92624359130859E7,6.64648361206055E7,7.35689468383789E7,2.36926116943359E7,1.50167989730835E7,1.14251457214355E8,-1.12874794006348E7,4.92128486633301E7,5.8671745300293E7,3.5396778106689505E7,5.54042129516602E7,6.16804847717285E7,7.79578323364258E7,9.75685119628906E7,6.2734767913818404E7,6.92079162597656E7,8.64373550415039E7,1.0957593536377E8,1.1383457183837901E8,4.71402931213379E7,1.1851091003418E8,1.2254895019531299E8,1.2599375152587901E8,5.7036159515380904E7,9.77508697509766E7,1.45028793334961E8,5.3148811340332E7
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,DJI,WB_WDI_DT_ODA_ALLD_KD,_T,_T,_T,USD_K_2021,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Djibouti,Net official development assistance and official aid received (constant 2021 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2021 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,4.83722534179688E7,7.0847053527832E7,6.7998046875E7,7.23686828613281E7,8.24662551879883E7,6.952923583984381E7,7.46833953857422E7,8.89167938232422E7,1.28664642333984E8,1.1901091003418E8,9.77008361816406E7,1.56913070678711E8,3.1794934082031304E8,5.8180614471435495E7,1.75949981689453E8,1.6633134460449198E8,1.5660850524902302E8,1.79106918334961E8,2.88806396484375E8,2.3017974853515598E8,2.5443450927734402E8,1.96579833984375E8,1.6406112670898402E8,1.3512739562988302E8,3.23470458984375E8,1.57138259887695E8,1.56535766601563E8,2.05320816040039E8,1.7550013732910198E8,1.1806784057617201E8,1.17061820983887E8,1.1688032531738299E8,1.08979919433594E8,1.05805793762207E8,1.05182846069336E8,9.758123779296881E7,1.1319926452636701E8,1.0417419433593799E8,7.74386367797852E7,8.8123893737793E7,1.33361724853516E8,1.20664710998535E8,1.4359379577636698E8,1.6401025390625E8,1.17592468261719E8,1.3889533996582E8,1.46101333618164E8,1.5080619812011698E8,1.63400146484375E8,1.9486274719238302E8,2.1162467956543E8,1.56869995117188E8,1.92603302001953E8,2.8164639282226604E8,2.7791244506835896E8,1.8066450500488302E8,6.29091835021973E7,2.2237471008300802E8
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MDA,WB_WDI_DT_ODA_ALLD_KD,_T,_T,_T,USD_K_2021,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Moldova,Net official development assistance and official aid received (constant 2021 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2021 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69799995422363E7,4.90900001525879E7,8.62399978637695E7,9.35800018310547E7,5.32599983215332E7,9.91976165771484E7,6.28877182006836E7,1.6687803649902302E8,2.0032171630859402E8,1.9601347351074198E8,2.27556655883789E8,1.730732421875E8,1.5928067016601598E8,2.14845291137695E8,2.70997375488281E8,2.96092010498047E8,3.10992706298828E8,2.65570739746094E8,4.42494689941406E8,4.68497497558594E8,5.07601623535156E8,3.7853067016601604E8,5.65800537109375E8,3.69838684082031E8,3.1705676269531304E8,2.8472058105468804E8,2.9309338378906304E8,3.93052429199219E8,5.79150695800781E8,6.20585021972656E8,9.46548645019531E8,1.05138586425781E9
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDN,WB_WDI_DT_ODA_ALLD_KD,_T,_T,_T,USD_K_2021,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Indonesia,Net official development assistance and official aid received (constant 2021 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2021 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,8.77319274902344E8,1.15129187011719E9,1.51688256835938E9,8.46870239257813E8,5.0684506225585896E8,3.3179531860351604E8,6.3383447265625E8,1.70929870605469E9,2.4006416015625E9,2.32102368164063E9,3.16196435546875E9,3.75538818359375E9,2.84952661132813E9,2.89837548828125E9,2.7250439453125E9,2.56317431640625E9,2.36496069335938E9,1.66985888671875E9,1.74533276367188E9,1.89032971191406E9,2.20207861328125E9,2.364736328125E9,2.2499111328125E9,1.84049072265625E9,1.76531970214844E9,1.58728771972656E9,1.52669885253906E9,1.81303869628906E9,2.0674189453125E9,2.37158666992188E9,2.13113549804688E9,2.19170751953125E9,2.02707202148438E9,2.03651745605469E9,1.57388195800781E9,1.1371943359375E9,8.67834106445313E8,8.69413635253906E8,1.44488977050781E9,2.15118969726563E9,1.94865942382813E9,1.81580908203125E9,1.76910888671875E9,1.85127087402344E9,3.34823699951172E8,2.63233276367188E9,1.59294213867188E9,9.38932189941406E8,1.3492705078125E9,1.25183117675781E9,1.2814501953125E9,5.87980163574219E8,3.64551452636719E8,2.5314144897460902E8,-1.44350341796875E8,2.38111450195313E8,3.29778533935547E8,6.43603698730469E8,1.31411413574219E9,-4.95205780029297E8,1.38687414550781E9,6.96906555175781E8,7.22262512207031E8,1.15507946777344E9
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NER,WB_WDI_DT_ODA_ALLD_KD,_T,_T,_T,USD_K_2021,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Niger,Net official development assistance and official aid received (constant 2021 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2021 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,443345.010280609,2.0326244354248002E7,4.3429981231689505E7,4.11377601623535E7,1.20957458496094E8,1.15511878967285E8,1.74874984741211E8,1.6547792053222698E8,2.1915214538574198E8,2.3108897399902302E8,2.2137974548339802E8,2.65327026367188E8,2.5521495056152302E8,3.75365509033203E8,6.42236022949219E8,5.47042785644531E8,5.06878601074219E8,3.38289093017578E8,4.81002410888672E8,4.5576522827148396E8,3.9876953125E8,5.11806854248047E8,7.02210754394531E8,4.86600524902344E8,4.62507873535156E8,8.34918395996094E8,7.027900390625E8,6.88180603027344E8,6.55328186035156E8,5.67907043457031E8,6.17200256347656E8,5.79691101074219E8,5.25873596191406E8,5.16337890625E8,5.25147155761719E8,3.6863980102539104E8,3.4457775878906304E8,4.9245495605468804E8,4.3724450683593804E8,2.80723876953125E8,3.3465170288085896E8,4.36547607421875E8,4.71096374511719E8,6.56325439453125E8,6.79099731445313E8,6.42398010253906E8,6.49283325195313E8,6.34800231933594E8,6.38567565917969E8,4.9618692016601604E8,7.24974792480469E8,6.68688110351563E8,9.48829772949219E8,8.21279663085938E8,9.46685607910156E8,1.01474237060547E9,1.11605212402344E9,1.39563525390625E9,1.43795947265625E9,1.61591491699219E9,2.10156005859375E9,1.853529296875E9,2.15800659179688E9,1.28257019042969E9
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SYC,WB_WDI_DT_ODA_ALLD_KD,_T,_T,_T,USD_K_2021,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Seychelles,Net official development assistance and official aid received (constant 2021 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2021 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1.25918684005737E7,1.10741500854492E7,5215129.85229492,6735589.9810791,9590497.01690674,1.48343658447266E7,8430212.02087402,2.0150707244873002E7,2.43940734863281E7,1.19265823364258E7,3.41750564575195E7,5.96576309204102E7,6.11536865234375E7,5.24433403015137E7,5.0366237640380904E7,3.69145965576172E7,3.84127616882324E7,4.92880897521973E7,5.66532669067383E7,6.941064453125E7,5.08179054260254E7,4.26891021728516E7,4.83971748352051E7,4.2424407958984405E7,4.2291046142578095E7,6.78949432373047E7,6.69624786376953E7,4.71911964416504E7,3.62526054382324E7,3.7705413818359405E7,6.0324981689453095E7,3.44229965209961E7,3.02834796905518E7,3.10042858123779E7,2.00215396881104E7,1.40699262619019E7,2.6328170776367202E7,2.5365470886230502E7,3.6277126312255904E7,1.91002101898193E7,3.73522872924805E7,1.90011596679688E7,8.96938705444336E7,1.22986450195313E7,1.24188537597656E7,2.04296627044678E7,1.56445655822754E7,6667788.02871704,7008252.14385986,2.05045585632324E7,3.3153598785400398E7,2.22101955413818E7,3.58116226196289E7,2.76555118560791E7,1.21035051345825E7,7506967.0677185105,6662364.959716801,1.6778724670410197E7,,,,50000.0007450581,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LAC,WB_WDI_DT_ODA_ALLD_KD,_T,_T,_T,USD_K_2021,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Latin America & Caribbean (excluding high income),Net official development assistance and official aid received (constant 2021 US$),Total,All age ranges or no breakdown by age,Total,"US dollars, 2021 constant prices",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1.48250001144409E9,4.42903998672962E9,3.75762005537748E9,4.29658995676041E9,4.41878000074625E9,5.52017997455597E9,5.05667994832993E9,3.96433001995087E9,4.28116998291016E9,3.47196002483368E9,3.87623003578186E9,3.30272994995117E9,3.10258002185822E9,2.97351995134354E9,3.28500998592377E9,3.26732000160217E9,3.48877997875214E9,2.9875800104141197E9,3.36662002944946E9,3.7272899916172E9,4.0823000173568697E9,4.63936998128891E9,5.20972998905182E9,5.55414999437332E9,5.89954001522064E9,6.75345003509521E9,6.34605010509491E9,6.82703004598618E9,6.48801998996735E9,7.005359998703E9,6.95104005336761E9,7.60789998817444E9,6.414869972229E9,6.42114999866486E9,7.14856001186371E9,6.86701004886627E9,8.59785996818542E9,6.552279918819664E9,6.866179957538844E9,7.466689913392065E9,6.373469916194676E9,7.973070065855975E9,6.721069996714595E9,7.109550037264821E9,7.6017500640153885E9,7.03905001163483E9,7.59338003635406E9,6.55296005630493E9,8.341929962158199E9,8.36927008056641E9,9.34239005661011E9,9.19071989154816E9,9.48780996608734E9,9.53874998188019E9,9.08135008716583E9,1.07279199447632E10,1.18061099939346E10,8.64833002567291E9,1.00963399410248E10,8.516919954299931E9,1.1721510034561201E10,1.08057300071716E10,,
