STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Yemen, Rep.",Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.627666229605698,47.92135932141803,46.15035147339725,58.140414235862394,68.96404030738691,87.44469198382254,85.93910744309777,80.145988654048,72.66199854732372,72.0039277408966,75.43883863909085,70.89239797701823,74.73045586092064,74.3826165968098,71.84667400692025,76.773285677642,82.07616265641354,79.12342058760588,81.24471885029402,68.0713910145084,64.38563677971784,63.05945795490425,61.36163718256827,52.51187813670889,48.2430405122774,30.36765908446375,31.081544290855923,42.96990467219668,56.07782272150765,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TON,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Tonga,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,112.14808371489897,83.56632545120185,91.0432684031195,96.66193983616714,95.8812886176115,97.78077095760375,92.62042353636247,92.21316163613486,87.82841664323037,89.5630438048927,102.35935719435336,95.58816322129758,95.53229249723502,89.48574358481345,87.90899241603466,98.96572344994428,83.46206799990665,72.6308207233457,67.44352272134397,62.95976808260415,71.11928575464769,77.83335654191414,71.85019825748404,78.2916318575919,60.777520877141235,61.508239295468016,62.406564393519446,73.83740938175141,73.21605681737311,73.97371512148688,76.20804943945718,66.35498847495322,68.2299182500325,72.65637911562375,74.3406648891028,70.79766812146488,78.85786488591341,77.97228727996519,82.73158119629204,74.73042459357451,81.3902410936397,87.77716753879551,88.04349374862575,86.10396243231942,88.04539009689525,81.84949888902622,68.54614860022694,70.12727566172343,79.62392050240447,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SLB,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Solomon Islands,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,142.3528681779818,142.35286376861188,142.5308075536118,142.69095216706694,150.90649662240128,142.79660059554996,157.92730110765035,157.99579318019877,192.62550345994583,193.4615519316701,142.44201796900165,168.20040941177615,149.79177673611844,161.46880705322454,136.81471215210297,114.20518631644244,98.79545332230603,100.91097317162985,83.13880199981494,69.16174399236232,58.55232808924142,45.110068567304225,45.12751002525815,55.95860913349695,62.81189766830835,66.57107656352566,69.7893991429226,83.74761387149995,87.35261580287256,71.88495301923771,96.14855454233854,107.24751557253423,104.82343462896651,99.60746055513145,93.45340701002964,88.18848591073257,85.54984577725003,82.19749220273243,88.49496146553884,82.99856590205522,60.22043655775728,67.42005678350606,74.83554053298583,101.13453179316984,111.35297206445497
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PAK,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Pakistan,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,20.39318920129943,20.23147912099118,21.091352009744213,23.988753854525665,23.125958202210924,24.04108376128918,19.19408526437076,20.494570415799245,19.132546480050134,17.480471111756028,17.96611589286088,18.202043669153984,15.821337771843504,28.979730931073313,30.83017411636512,32.3880449349271,28.945874627964773,27.200363276971977,27.9180418977622,32.864581997280865,35.89689938038851,35.1680110425743,31.322283200528133,34.69196211719957,33.362632860253164,33.17074617129472,32.40673077670582,32.89710190242786,33.28422583133572,34.4216591208777,35.03457590049805,35.419655104840295,37.69453972106308,38.49931687523153,35.057723713159454,36.13275367351904,38.33012683398949,36.85226610089642,34.01172518053103,32.319962809426556,21.459963888465357,23.577207429846716,23.12901595452911,24.650158524839835,24.808334851906412,29.87849405507474,33.04971936722845,30.787881431274567,34.34896081352415,33.32688728639883,31.989002046231548,32.3626382751438,31.318973276007583,30.89027434018438,29.469825690399787,26.68818601722468,24.701578048057314,25.47203500234398,27.62605707963371,28.905576986703235,26.71628073288137,27.03042041255475,33.03135347803203,28.46769254698369,27.578468352069503
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,China,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,6.305576279678273,5.808545536723621,5.565523018639993,5.662062298489088,5.71690657135873,5.899470471551923,5.927989229968287,5.582337495081785,5.578898188897791,4.941376789042072,4.825486330042918,4.945569997272026,5.667472185237629,8.083539278098966,10.337506566045832,9.976087395217291,9.591903356739378,9.320199322407078,15.396924229266173,16.518607055901832,21.5410562047131,23.743825591036867,19.655474761645664,17.886713506127045,18.996339813090888,20.674337284396056,19.845054136932667,24.81383367446971,30.01333891832386,25.06155489141197,24.225982479967843,25.872981494710235,30.034094053380763,35.90864165821461,35.60546352487796,34.104952158932285,33.62875123130053,34.31357632200212,32.17173993574878,33.22553807600541,39.01094247749984,38.082646951833446,42.194442338741275,51.077480130180305,58.64033404084389,61.36007494082367,63.569579862162726,61.26646400061758,56.71113300032089,44.41976443311194,49.85407223389774,49.94582722536431,47.480213078431724,45.916041379557115,44.06845648125317,38.697184836262466,36.177170692977995,36.950852615859965,36.894384391471846,35.199420273883646,34.038950786458095,36.52069117626763,37.44071987636599,36.105192369113844,37.19842013880647
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,OED,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,OECD members,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,26.394216229202534,26.273934990026422,26.3076769043071,28.78043028320764,33.95288085995515,31.660196609149136,32.902052813986465,33.22032076827834,32.533475934899066,34.48191899538934,36.721289746272234,37.124882917857,35.89793114012144,35.31781791756617,37.243915023280906,36.847707838221616,34.251064174543984,34.33299793677854,35.07168444359228,36.12874000960287,36.133610035486534,35.63042402706495,35.54936618938342,35.29765393613947,37.092561697434405,39.13211646998107,39.93470542839297,41.9362397012007,42.491506342495626,42.609708916971435,46.534067458032,45.29833840035555,43.944016691310104,43.65864669183445,45.92054788258007,47.80205797978622,50.48250461612081,51.57187905307732,53.739789307777926,46.815122151161525,51.374979893576324,55.14467915680728,55.56036130081864,55.23644223317326,55.35409177022411,54.32696668085496,53.253886063963435,55.15669827348094,56.50311043578805,55.86383084895721,51.41973346246883,55.71220028053942,63.14044216860029,58.48780772891892,57.23554876970437
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AZE,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Azerbaijan,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.08321964529331,86.86377245508982,140.79998340283396,133.4904458598726,55.34931945556445,85.89371075077325,80.84974017419307,82.07896653262831,77.22780910306342,69.82596487510264,78.54856827960408,78.8151854917601,92.81814432989691,107.5519485062618,121.50711589411736,115.84188460770612,105.26239984636887,96.64180814865746,89.24289686375731,74.74404168363694,74.9859884610856,80.50804500595216,78.26306954042201,74.67584476298511,69.48322519533467,72.60150790731886,90.0773187345677,90.4023156823216,91.67257653698248,85.81814540845608,72.0178676487811,76.28686568701504,86.98227325417788,83.53588611563214,82.6898691594703
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LTU,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Lithuania,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.5445654964236,92.81379669775798,99.64948896611808,89.36530459852641,74.58473574249332,83.19149427481159,93.48713736858365,100.33222947481768,98.09140432067113,104.07207069854326,117.44969116518573,124.61363304729238,116.29581032817175,126.75970783184066,105.04025123661383,131.62650739600878,149.6453069272154,156.6389256505128,156.62663792741802,143.2901157806939,138.1955750096005,134.69044965087696,144.91839310132474,147.20213252522097,148.37499601181847,135.7965655635187,154.80672767596954,175.65161215109273,149.04190901460825,143.04839086337967
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,FRA,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,France,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,28.441785411774795,27.91409889903356,26.338498506988,26.390236284563656,27.296748805743242,27.24924700381237,27.909667836396636,27.988487771069558,28.340628032289366,30.436316689171715,32.89783195355079,33.478606527445926,33.96896424584174,35.99796654699885,44.214449862135105,38.369675177420945,41.36955421546036,42.36158274631203,41.1188563628231,42.63754320128287,45.242690410729885,47.34637502437045,47.14303372563318,46.98444516301324,49.40169569232049,48.88387988366336,42.50391014267424,42.023495153912435,43.224622374235324,46.005115870575246,44.5862869486888,44.953700155056225,43.963354493582955,41.72561631231084,43.7513491504061,45.431661693863845,46.11248015896406,49.803453474736,51.421432803077074,51.670661463873365,57.786047031819706,56.89323285607223,55.13252485031017,52.59888228706573,53.749764829202775,55.82283612412989,57.86927752926727,58.15256113096589,59.1797928411748,52.19911230276135,56.58755524779604,60.60563548164058,61.65895707711015,61.81923387339621,62.19926693795067,63.504687195648444,63.342756438335144,65.39584815597112,66.80226078122658,66.4289771741449,58.83889072406472,63.788482630871954,75.96300779819963,70.62614506102246,68.10818754437437
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NCL,WB_WDI_NE_TRD_GNFS_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,New Caledonia,Trade (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.19993469435772,49.52706311401713,45.39188002884656,43.376463422650744,42.05797708772138,41.95162014709121,43.0935194214281,44.711963671281,51.716436204263246,56.39406569758395,60.36672251646177,58.18435232720914,56.13300403523771,61.88803389964983,58.581337864570216,61.910327001525744,68.02051447874447,72.17438871664648,67.91747838432441,56.07715703322748,68.16848239379391,66.8445220722878,63.753391309775665,58.87234350468806,58.95779793464777,60.046796095430835,58.02961614683893,58.92818262212835,59.097083299999994,58.210367099603964,54.58180483533839,49.04423431109911,50.47274874396391,51.63073472042662,40.36895772428101
