STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PRT,WB_WDI_SL_TLF_ACTI_1524_ZS,_T,Y15T24,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Portugal,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Total,15 to 24 years old,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,58.465,56.679,51.157,47.566,45.277,43.099,42.271,44.179,47.123,46.355,44.822,46.59,47.15,44.881,42.656,42.118,41.653,41.329,40.892,38.696,36.119,38.124,36.943,34.967,34.427,33.639,33.334,34.061,34.256,34.273,30.444,30.057,31.382,35.396,34.735,34.732
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ESP,WB_WDI_SL_TLF_ACTI_1524_ZS,_T,Y15T24,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Spain,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Total,15 to 24 years old,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,47.177,45.518,44.665,43.188,43.346,41.646,40.655,40.869,41.158,42.132,43.17,42.451,43.673,44.392,44.925,47.934,48.413,47.896,47.738,45.106,42.753,40.908,38.965,37.858,35.895,34.721,33.1,33.355,33.011,33.009,29.958,31.524,32.573,33.088,33.825,33.759
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IBT,WB_WDI_SL_TLF_ACTI_1524_ZS,_T,Y15T24,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,IDA & IBRD total,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Total,15 to 24 years old,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,58.90611731366743,58.46444884916427,58.02229055173071,57.26289554406707,56.80124812192628,56.207041446215754,55.528497630577824,54.92952807419356,54.321975484170274,54.01748380112576,53.386706348602424,52.80732872091771,52.317236403541536,51.730268594124375,51.35863821780389,50.812279091131934,50.03063824382384,49.24635641813736,48.46229074974657,47.77005458143006,46.85468927407809,46.15733755538872,45.47961164792525,45.12396007049631,44.325283018629854,43.74162308837435,43.151057775303464,42.606369291655966,42.127355026465025,41.754794908786096,40.22262582483195,40.92573765295865,41.571081318759035,41.87937651923158,41.85594166428726,41.821394817263545
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,HKG,WB_WDI_SL_TLF_ACTI_1524_ZS,_T,Y15T24,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Hong Kong SAR, China","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Total,15 to 24 years old,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,56.741,56.104,54.638,53.655,52.459,50.279,50.224,49.5,49.288,47.415,45.549,44.927,44.874,44.439,44.306,43.869,42.92,42.748,40.714,39.227,36.061,36.402,36.962,38.898,38.525,40.264,40.71,39.83,40.059,39.816,35.985,34.877,31.947,30.618,29.474,29.465
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TKM,WB_WDI_SL_TLF_ACTI_1524_ZS,_T,Y15T24,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Turkmenistan,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Total,15 to 24 years old,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,34.786,35.669,38.042,38.157,41.039,42.367,41.697,43.628,42.846,40.918,40.416,40.067,40.267,40.066,39.639,38.234,37.111,36.014,34.558,34.09,33.296,31.965,31.044,30.242,29.455,29.052,28.684,28.288,27.917,27.53,26.106,26.602,26.978,26.742,26.918,26.791
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SST,WB_WDI_SL_TLF_ACTI_1524_ZS,_T,Y15T24,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Small states,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Total,15 to 24 years old,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,47.85575815780176,47.416872842078554,46.82834386392955,46.478649930006675,46.58037354560787,46.347619828359846,45.79024446570658,45.080948166039306,44.44361979634445,43.88976994593155,43.27913982906687,42.824072887299785,41.88686300833424,42.650616076698334,42.39742142957585,41.91377469189377,41.71731663187277,41.404678961890546,40.9607638032185,40.21303992575628,39.26068471130006,38.931392472571375,38.733434430835295,38.48195138658377,38.54249887667948,38.69528671504338,38.6132828699769,38.5423661960254,38.8401395596338,38.202209406566986,36.142296323344844,36.42068501716185,37.838783227335234,38.64887497086864,38.511290347977265,38.47747702193576
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BRB,WB_WDI_SL_TLF_ACTI_1524_ZS,_T,Y15T24,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Barbados,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Total,15 to 24 years old,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,65.083,63.584,62.053,62.3,62.518,64.759,64.512,62.004,61.184,60.357,59.522,58.673,57.814,56.955,57.212,56.611,56.012,55.416,54.814,54.204,53.596,52.992,47.241,47.494,46.594,42.067,43.749,41.279,44.207,44.4,42.885,42.59,46.873,47.804,48.215,48.348
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MOZ,WB_WDI_SL_TLF_ACTI_1524_ZS,_T,Y15T24,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Mozambique,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Total,15 to 24 years old,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,76.432,76.339,76.237,76.053,75.764,75.436,75.15,75.08,74.037,72.966,71.866,70.738,69.581,68.399,67.935,67.467,66.995,66.518,66.037,65.552,65.063,64.57,64.073,63.572,63.069,62.562,62.892,63.203,63.528,63.872,63.718,64.409,65.142,65.088,65.006,64.951
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NPL,WB_WDI_SL_TLF_ACTI_1524_ZS,_T,Y15T24,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Nepal,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Total,15 to 24 years old,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,34.389,34.394,34.439,34.446,34.394,34.318,34.221,34.143,34.088,34.043,33.997,33.955,33.876,33.756,33.632,33.446,33.179,32.883,32.608,32.376,32.189,31.974,31.631,31.171,30.732,30.418,30.043,29.51,28.956,28.596,28.316,28.525,27.818,27.659,27.427,27.303
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LCA,WB_WDI_SL_TLF_ACTI_1524_ZS,_T,Y15T24,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,St. Lucia,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Total,15 to 24 years old,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,61.05,61.148,60.816,60.943,61.005,61.061,61.031,61.22,60.968,60.928,61.044,61.366,61.447,61.293,60.96,61.084,60.814,60.814,60.62,60.873,60.918,60.728,60.799,60.886,60.828,60.85,60.686,60.524,61.916,55.984,45.714,55.693,58.966,59.701,60.642,60.647
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ITA,WB_WDI_SL_TLF_ACTI_1524_ZS,_T,Y15T24,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Italy,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Total,15 to 24 years old,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,46.932,46.193,42.204,41.223,39.112,38.862,38.772,38.408,38.529,38.202,38.16,36.367,35.344,34.707,36.797,33.89,32.35,30.824,30.744,28.843,28.082,27.107,28.554,27.141,27.147,26.193,26.619,26.205,25.994,25.965,23.839,24.956,25.99,26.391,24.713,24.63
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NAC,WB_WDI_SL_TLF_ACTI_1524_ZS,_T,Y15T24,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,North America,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Total,15 to 24 years old,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,62.21637746751384,60.9714311171059,60.85383508410814,60.63375118674522,60.94042655106231,60.7769502006179,60.065025992907515,59.966629091519145,60.124184835575896,59.97006812799757,60.32979844431714,59.29618814142766,58.436236629826055,57.090257528956656,56.69963023417384,56.300999363522244,56.29519366193466,55.34707799158779,54.87357050947815,53.11149231573724,51.6404247185695,51.47320839159172,51.360773801830774,51.52205859285129,51.4849550122852,51.472803408756725,51.54973795839452,51.84977275549004,51.60525679879187,52.24872079330041,50.28373124192414,51.78992852813931,51.933756763289736,52.471633344748035,51.99555570727725,52.005444297132534
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SLE,WB_WDI_SL_TLF_ACTI_1524_ZS,_T,Y15T24,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Sierra Leone,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Total,15 to 24 years old,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,37.772,37.888,38.051,38.183,38.325,38.479,38.615,38.753,38.886,39.069,39.208,39.291,39.306,39.3,42.319,40.87,39.437,38.023,36.628,35.257,33.91,32.588,31.293,30.026,28.788,29.597,30.422,31.263,32.119,31.557,31.257,31.394,31.224,31.11,30.992,30.94
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UZB,WB_WDI_SL_TLF_ACTI_1524_ZS,_T,Y15T24,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Uzbekistan,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Total,15 to 24 years old,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,44.608,45.868,46.597,47.199,47.522,47.47,46.827,46.239,45.809,45.438,44.495,43.897,42.86,42.096,41.353,40.65,39.64,38.878,38.405,38.972,38.332,38.549,38.435,38.029,38.014,38.007,37.891,37.319,37.0,36.597,35.604,35.959,37.178,37.309,37.416,37.453
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TCD,WB_WDI_SL_TLF_ACTI_1524_ZS,_T,Y15T24,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Chad,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Total,15 to 24 years old,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,55.652,55.577,55.247,56.487,55.768,55.047,54.324,53.601,52.875,52.147,51.419,50.69,49.96,49.229,48.499,47.769,47.039,46.31,45.583,44.859,44.137,43.416,42.699,41.985,41.275,40.568,39.866,39.167,38.473,38.31,37.946,38.213,38.097,37.913,37.724,37.537
