STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,KAZ,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Kazakhstan,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,12.813,12.502,10.732,9.71,9.546,8.198,7.8,8.026,8.021,8.763,8.464,9.491,8.86,8.363,7.495,7.081,7.405,7.389,7.778,7.777,7.776
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COG,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Congo, Rep.","Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,29.871,29.752,29.996,29.946,29.814,29.356,29.19,28.897,28.991,28.595,28.518,28.654,28.896,29.032,28.938,30.335,29.941,29.137,29.181,29.289,29.396
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TUR,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Türkiye,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,42.557,41.224,41.84,39.771,36.963,34.698,31.929,31.168,28.123,24.855,24.032,23.964,24.188,24.461,26.052,28.335,24.753,24.158,22.494,22.946,23.081
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BGR,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Bulgaria,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,25.05,22.244,19.146,16.792,19.808,21.145,22.4,21.592,20.954,20.194,18.474,18.198,15.848,13.844,13.546,14.706,13.568,12.55,11.152,10.495,10.619
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CMR,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Cameroon,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,12.78,12.321,11.741,12.793,13.838,14.829,15.415,15.933,16.397,17.015,17.692,18.982,19.795,20.498,21.373,22.557,23.223,23.131,23.166,23.196,23.227
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,HKG,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Hong Kong SAR, China","Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,8.97,8.938,7.641,6.286,7.41,6.954,6.156,6.144,6.675,6.622,6.603,6.099,6.384,6.488,6.725,8.992,7.242,6.701,5.942,5.668,5.704
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GUM,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Guam,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,14.849,15.376,17.571,18.041,18.511,17.539,21.663,20.47,19.882,16.499,15.76,14.399,14.128,13.565,13.27,15.24,13.969,12.242,11.881,11.851,12.126
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LAO,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Lao PDR,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,24.739,24.834,24.728,24.638,24.337,24.277,24.439,24.612,24.535,24.655,24.825,25.289,25.8,25.264,24.665,24.341,23.476,22.509,22.428,22.516,22.605
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,39.321,37.929,36.465,34.984,36.428,37.854,36.204,34.482,34.079,33.66,33.349,32.985,32.63,32.826,32.543,31.055,31.361,29.368,28.926,29.021,29.098
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AZE,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Azerbaijan,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,8.104,8.417,8.798,9.445,9.4,9.64,9.377,8.803,7.95,6.985,6.026,5.055,4.389,3.88,3.488,3.582,3.753,3.237,3.228,3.24,3.252
