"","time","SL.TLF.ACTI.FE.ZS","EG.ELC.ACCS.ZS","IT.NET.USER.ZS","SI.SPR.PGAP","IQ.SPI.OVRL","wat_sm_t","wat_imp_prem_t","wat_imp_qual_t","wat_imp_av_t"
"1",0,5.4,0.5,0,32.8,11.8,1.3,1.3,6.8,15.5
"2",10,5.5,NA,NA,NA,NA,NA,NA,NA,NA
"3",20,5.6,NA,NA,NA,NA,NA,NA,NA,NA
"4",30,5.7,NA,NA,NA,NA,NA,NA,NA,NA
"5",40,5.8,NA,NA,NA,NA,NA,NA,NA,NA
"6",50,5.9,NA,NA,NA,NA,NA,NA,NA,NA
"7",60,6,NA,NA,NA,NA,NA,NA,NA,NA
"8",70,6.1,NA,NA,NA,NA,NA,NA,NA,NA
"9",80,6.2,NA,NA,NA,NA,NA,NA,NA,NA
"10",85,6.3,NA,NA,NA,NA,NA,NA,NA,NA
"11",90,6.4,NA,NA,NA,NA,NA,NA,NA,NA
"12",95,6.5,NA,NA,NA,NA,NA,NA,NA,NA
"13",100,6.6,NA,NA,NA,NA,NA,NA,NA,NA
"14",105,6.7,NA,NA,NA,NA,NA,NA,NA,NA
"15",110,6.8,NA,NA,NA,NA,NA,NA,NA,NA
"16",115,6.9,NA,NA,NA,NA,NA,NA,NA,NA
"17",120,7,NA,NA,NA,NA,NA,NA,NA,NA
"18",125,7.1,NA,NA,NA,NA,NA,NA,NA,NA
"19",128.333333333333,7.2,NA,NA,NA,NA,NA,NA,NA,NA
"20",131.666666666667,7.3,NA,NA,NA,NA,NA,NA,NA,NA
"21",135,7.4,NA,NA,NA,NA,NA,NA,NA,NA
"22",138.333333333333,7.5,NA,NA,NA,NA,NA,NA,NA,NA
"23",141.666666666667,7.6,NA,NA,NA,NA,NA,NA,NA,NA
"24",145,7.7,NA,NA,NA,NA,NA,NA,NA,NA
"25",148.333333333333,7.8,NA,NA,NA,NA,NA,NA,NA,NA
"26",151.666666666667,7.9,NA,NA,NA,NA,NA,NA,NA,NA
"27",155,8,NA,NA,NA,NA,NA,NA,NA,NA
"28",157.5,8.1,NA,NA,NA,NA,NA,NA,NA,NA
"29",160,8.2,NA,NA,NA,NA,NA,NA,NA,NA
"30",162.5,8.3,NA,NA,NA,NA,NA,NA,NA,NA
"31",165,8.4,NA,NA,NA,NA,NA,NA,NA,NA
"32",167.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA
"33",170,8.6,NA,NA,NA,NA,NA,NA,NA,NA
"34",172.5,8.7,NA,NA,NA,NA,NA,NA,NA,NA
"35",175,8.8,NA,NA,NA,NA,NA,NA,NA,NA
"36",177.5,8.9,NA,NA,NA,NA,NA,NA,NA,NA
"37",179.5,9,NA,NA,NA,NA,NA,NA,NA,NA
"38",181.5,9.1,NA,NA,NA,NA,NA,NA,NA,NA
"39",183.5,9.2,NA,NA,NA,NA,NA,NA,NA,NA
"40",185.5,9.3,NA,NA,NA,NA,NA,NA,NA,NA
"41",187.5,9.4,NA,NA,NA,NA,NA,NA,NA,NA
"42",189.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA
"43",191.5,9.6,NA,NA,NA,NA,NA,NA,NA,NA
"44",193.5,9.7,NA,NA,NA,NA,NA,NA,NA,NA
"45",195.5,9.8,NA,NA,NA,NA,NA,NA,NA,NA
"46",197.5,9.9,NA,NA,NA,NA,NA,NA,NA,NA
"47",199.166666666667,10,NA,NA,NA,NA,NA,NA,NA,NA
"48",200.833333333333,10.1,NA,NA,NA,NA,NA,NA,NA,NA
"49",202.5,10.2,NA,NA,NA,NA,NA,NA,NA,NA
"50",204.166666666667,10.3,NA,NA,NA,NA,NA,NA,NA,NA
