"IPC/CH numbers by country - Downloaded on: 29-6-2026"
"Country","Coverage","Phase 1","Phase 2","Phase 3","Phase 4","Phase 5","Phase 3+","Period from","Period to","IPC/CH"
"Afghanistan","100%","30","42","22","6","","28","Apr 2026","Sep 2026","IPC"
"Benin","20%","76","17","7","","","7","Jun 2026","Aug 2026","CH"
"Burundi","93%","56","35","9","","","9","Jan 2026","Mar 2026","IPC"
"Cabo Verde","100%","79","15","7","","","7","Jun 2026","Aug 2026","CH"
"Cameroon","100%","69","21","9","1","","10","Jun 2026","Aug 2026","CH"
"Central African Republic","100%","28","41","27","4","","31","Apr 2026","Aug 2026","IPC"
"Chad","90%","55","29","15","1","","16","Jun 2026","Aug 2026","CH"
"Côte d'Ivoire","76%","79","16","5","","","5","Jun 2026","Aug 2026","CH"
"Democratic Republic of the Congo","99%","32","45","20","3","","23","Jan 2026","Jun 2026","IPC"
"Eswatini","100%","38","41","20","1","","21","Oct 2025","Mar 2026","IPC"
"Gaza Strip","98%","","23","50","27","","77","Dec 2025","Apr 2026","IPC"
"Ghana","100%","81","14","4","","","4","Jun 2026","Aug 2026","CH"
"Guatemala","100%","45","38","15","1","","16","Feb 2026","Apr 2026","IPC"
"Guinea","84%","61","25","13","1","","14","Jun 2026","Aug 2026","CH"
"Kenya","34%","42","36","18","4","","22","Apr 2026","Jun 2026","IPC"
"Lebanon","99%","40","36","22","2","","24","Apr 2026","Aug 2026","IPC"
"Lesotho","64%","39","39","22","","","22","Oct 2025","Mar 2026","IPC"
"Malawi","83%","46","33","22","","","22","Oct 2025","Mar 2026","IPC"
"Mali","100%","78","16","6","","","6","Jun 2026","Aug 2026","CH"
"Mauritania","100%","66","25","9","","","9","Jun 2026","Aug 2026","CH"
"Mozambique","100%","71","23","5","","","5","Apr 2026","Sep 2026","IPC"
"Namibia","100%","48","39","13","","","13","Apr 2026","Jun 2026","IPC"
"Niger","100%","67","25","9","","","9","Jun 2026","Aug 2026","CH"
"Nigeria","89%","39","45","15","1","","16","Jun 2026","Aug 2026","CH"
"Senegal","100%","80","16","4","","","4","Jun 2026","Aug 2026","CH"
"Sierra Leone","100%","50","35","13","1","","14","Jun 2026","Aug 2026","CH"
"Somalia","100%","29","40","21","10","","31","Apr 2026","Jun 2026","IPC"
"South Sudan","100%","16","28","37","17","1","55","Apr 2026","Jul 2026","IPC"
"Sudan","17%","9","24","38","27","2","67","Jun 2026","Sep 2026","IPC"
"Togo","72%","76","19","5","","","5","Jun 2026","Aug 2026","CH"
"Uganda","3%","30","39","29","3","","32","Mar 2026","Jul 2026","IPC"
"United Republic of Tanzania","16%","72","23","5","","","5","Jun 2026","Jan 2027","IPC"
"Yemen","29%","21","28","35","16","","51","Jun 2026","Sep 2026","IPC"
"Zambia","100%","34","49","17","","","17","Oct 2025","Mar 2026","IPC"
"The data combines the latest analyses by the Integrated Food Security Phase Classification (IPC) and the Cadre Harmonisé (CH),"
"initiatives that use a similar analytical approach that produces relevant, consensual, rigorous, and transparent findings on current and projected acute food insecurity."
"These figures include 34 countries (20 IPC, 14 CH) and capture all IPC and CH analyses that are presently valid."
"Country analyses with validity periods that expired within the last three months are also included."
