Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21035,Cereal import dependency ratio (percent) (3-year average),20002002,2000-2002,%,14.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21035,Cereal import dependency ratio (percent) (3-year average),20012003,2001-2003,%,16.6,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21035,Cereal import dependency ratio (percent) (3-year average),20022004,2002-2004,%,18.7,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21035,Cereal import dependency ratio (percent) (3-year average),20032005,2003-2005,%,18.3,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21035,Cereal import dependency ratio (percent) (3-year average),20042006,2004-2006,%,18.3,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21035,Cereal import dependency ratio (percent) (3-year average),20052007,2005-2007,%,16.2,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21035,Cereal import dependency ratio (percent) (3-year average),20062008,2006-2008,%,14.2,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21035,Cereal import dependency ratio (percent) (3-year average),20072009,2007-2009,%,13.6,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20002002,2000-2002,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20012003,2001-2003,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20022004,2002-2004,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20032005,2003-2005,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20042006,2004-2006,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20052007,2005-2007,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20062008,2006-2008,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20072009,2007-2009,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20082010,2008-2010,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20092011,2009-2011,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20102012,2010-2012,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20112013,2011-2013,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20122014,2012-2014,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20132015,2013-2015,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20142016,2014-2016,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20152017,2015-2017,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20162018,2016-2018,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20172019,2017-2019,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20182020,2018-2020,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20192021,2019-2021,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20202022,2020-2022,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21034,Percent of arable land equipped for irrigation (percent) (3-year average),20212023,2021-2023,%,0.1,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21033,Value of food imports in total merchandise exports (percent) (3-year average),20002002,2000-2002,%,16,E,Estimated value,
FS,Suite of Food Security Indicators,768,Togo,6121,Value,21033,Value of food imports in total merchandise exports (percent) (3-year average),20012003,2001-2003,%,16,E,Estimated value,
