STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CPV,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Cabo Verde,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,210024.0,215087.0,221919.0,229373.0,237006.0,244856.0,252976.0,261404.0,270164.0,279248.0,287885.0,294046.0,297386.0,299881.0,302570.0,305847.0,309455.0,312834.0,316147.0,319480.0,323301.0,327846.0,332724.0,337654.0,342505.0,347365.0,352312.0,357302.0,362329.0,367803.0,375428.0,384586.0,393415.0,401965.0,410228.0,418104.0,425581.0,432798.0,439784.0,446519.0,453317.0,460293.0,467046.0,473383.0,479370.0,485115.0,490728.0,496190.0,501355.0,506141.0,509784.0,511447.0,511955.0,512225.0,512326.0,512394.0,512554.0,512893.0,513415.0,514104.0,514679.0,516649.0,519741.0,522331.0,524877.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Western & Central Africa,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,9.7630925E7,9.9706674E7,1.01854756E8,1.04089175E8,1.0638844E8,1.08772632E8,1.11246953E8,1.13795019E8,1.16444636E8,1.19203521E8,1.22086536E8,1.25072948E8,1.28176494E8,1.31449942E8,1.34911581E8,1.38569918E8,1.42337272E8,1.46258576E8,1.50402616E8,1.54721711E8,1.59166518E8,1.63762473E8,1.68585118E8,1.73255157E8,1.77880746E8,1.82811038E8,1.87889141E8,1.93104347E8,1.98485027E8,2.04062274E8,2.09566031E8,2.15178709E8,2.21191375E8,2.27246778E8,2.33360104E8,2.39801875E8,2.46415446E8,2.53207584E8,2.60297834E8,2.67506298E8,2.74968446E8,2.82780717E8,2.90841795E8,2.99142845E8,3.077251E8,3.16588476E8,3.25663158E8,3.34984176E8,3.44586109E8,3.54343844E8,3.6435827E8,3.74790143E8,3.85360349E8,3.96030207E8,4.06992047E8,4.18127845E8,4.29454743E8,4.40882906E8,4.52195915E8,4.63365429E8,4.74569351E8,4.85920997E8,4.9738718E8,5.09398589E8,5.21764076E8
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,"Yemen, Rep.","Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,5532301.0,5655232.0,5782221.0,5911135.0,6048006.0,6195593.0,6351494.0,6516444.0,6690524.0,6875859.0,7065279.0,7257462.0,7460068.0,7672796.0,7896783.0,8133598.0,8384113.0,8648222.0,8926586.0,9224194.0,9543358.0,9882362.0,1.0241006E7,1.0621499E7,1.1025597E7,1.1453825E7,1.190104E7,1.2369912E7,1.2859708E7,1.3364174E7,1.3887862E7,1.4430201E7,1.4989494E7,1.5563914E7,1.6149147E7,1.6740058E7,1.7313177E7,1.7873936E7,1.8446013E7,1.902942E7,1.9624141E7,2.0226147E7,2.0835086E7,2.1456379E7,2.2095167E7,2.2790085E7,2.3543083E7,2.4318082E7,2.5111941E7,2.5927724E7,2.6754387E7,2.7582897E7,2.8433647E7,2.9312952E7,3.0226309E7,3.1159379E7,3.210901E7,3.3090921E7,3.4085182E7,3.5111408E7,3.6134863E7,3.714023E7,3.8222876E7,3.9390799E7,4.0583164E7
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDX,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,IDA only,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.71011918E8,2.77777327E8,2.84793544E8,2.92032194E8,2.99550203E8,3.07362551E8,3.15417039E8,3.23800597E8,3.3251312E8,3.41390558E8,3.50214798E8,3.58587698E8,3.67253289E8,3.76941153E8,3.86935938E8,3.96714176E8,4.06435903E8,4.16206887E8,4.26640583E8,4.37766309E8,4.48125037E8,4.58208924E8,4.69727285E8,4.82266809E8,4.94950768E8,5.07758711E8,5.20745833E8,5.34038822E8,5.47428806E8,5.61093211E8,5.74789532E8,5.88705533E8,6.04096384E8,6.20712335E8,6.37273776E8,6.53949075E8,6.7089075E8,6.87850227E8,7.04912232E8,7.22105611E8,7.39265295E8,7.5660578E8,7.74981706E8,7.93752826E8,8.12304004E8,8.3126594E8,8.51014854E8,8.70961847E8,8.90856012E8,9.10994308E8,9.31508127E8,9.52581923E8,9.73877784E8,9.94055686E8,1.015131349E9,1.036954223E9,1.060123021E9,1.084214336E9,1.109124621E9,1.135124109E9,1.161733317E9,1.1882422E9,1.214632171E9,1.241913429E9,1.269842894E9
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MNG,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Mongolia,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,977595.0,1009284.0,1041444.0,1071362.0,1100234.0,1131177.0,1163754.0,1196996.0,1229930.0,1262284.0,1295272.0,1330071.0,1366821.0,1405502.0,1446050.0,1488296.0,1531945.0,1576245.0,1619468.0,1660659.0,1701335.0,1742857.0,1785364.0,1829092.0,1874349.0,1921514.0,1970965.0,2022800.0,2076322.0,2124185.0,2098710.0,2165342.0,2167790.0,2165130.0,2189395.0,2224945.0,2259507.0,2291750.0,2323809.0,2356813.0,2388299.0,2417751.0,2449027.0,2480374.0,2508412.0,2536407.0,2567168.0,2601850.0,2643201.0,2691115.0,2738622.0,2786317.0,2839705.0,2899011.0,2963113.0,3026864.0,3088856.0,3148917.0,3208189.0,3267673.0,3327204.0,3383741.0,3433748.0,3481145.0,3524788.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDA,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,IDA total,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.95487385E8,4.05466111E8,4.15842864E8,4.26595648E8,4.3775861E8,4.49354777E8,4.61321498E8,4.73724445E8,4.86593159E8,4.99784526E8,5.13067315E8,5.25943813E8,5.39264683E8,5.53896099E8,5.69074542E8,5.84300234E8,5.99688584E8,6.15372616E8,6.3195871E8,6.49654167E8,6.6767717E8,6.85834141E8,7.05010143E8,7.24856444E8,7.44819033E8,7.65420624E8,7.86547184E8,8.0820046E8,8.30136818E8,8.52474775E8,8.751559E8,8.9819705E8,9.22434199E8,9.47852649E8,9.73370197E8,9.99276289E8,1.02575257E9,1.052340078E9,1.079175178E9,1.10612393E9,1.133395252E9,1.161268165E9,1.189916772E9,1.219064128E9,1.248451458E9,1.278398885E9,1.309409307E9,1.341438373E9,1.373831893E9,1.406604878E9,1.439930635E9,1.473566366E9,1.506857958E9,1.538498334E9,1.5709999E9,1.604188279E9,1.638586691E9,1.67423841E9,1.711076534E9,1.749141428E9,1.788173625E9,1.827438519E9,1.86652809E9,1.906309321E9,1.946800545E9
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,KWT,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Kuwait,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,311060.0,345945.0,384995.0,427694.0,473115.0,521174.0,572590.0,628089.0,687716.0,749452.0,809114.0,865076.0,920352.0,977654.0,1038346.0,1104863.0,1178711.0,1258023.0,1340319.0,1423514.0,1504782.0,1583426.0,1662480.0,1744295.0,1820688.0,1894242.0,1972520.0,2052994.0,2134707.0,2217468.0,1684819.0,1351399.0,1634961.0,1672151.0,1664361.0,1681513.0,1730246.0,1787683.0,1844302.0,1900030.0,1954709.0,2008121.0,2059974.0,2109881.0,2157320.0,2236788.0,2364733.0,2507887.0,2651421.0,2795484.0,2943372.0,3132814.0,3337109.0,3507844.0,3665876.0,3834574.0,4004096.0,4154812.0,4323515.0,4442316.0,4400267.0,4360865.0,4589643.0,4853420.0,4897263.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NRU,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Nauru,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,4607.0,4774.0,4979.0,5226.0,5515.0,5832.0,6043.0,6135.0,6328.0,6581.0,6710.0,6762.0,6812.0,6866.0,6923.0,6987.0,7064.0,7163.0,7298.0,7468.0,7649.0,7839.0,8040.0,8216.0,8377.0,8551.0,8742.0,8946.0,9165.0,9390.0,9622.0,9850.0,10021.0,10102.0,10137.0,10165.0,10183.0,10197.0,10198.0,10187.0,10168.0,10130.0,10082.0,10059.0,10060.0,10049.0,10034.0,10020.0,10009.0,10016.0,10043.0,10098.0,10267.0,10517.0,10742.0,10954.0,11150.0,11324.0,11477.0,11587.0,11643.0,11709.0,11801.0,11875.0,11947.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific,"Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1.04281862E9,1.044749888E9,1.059216594E9,1.085095424E9,1.110651177E9,1.136869154E9,1.166223463E9,1.194633135E9,1.224397449E9,1.256167955E9,1.288721548E9,1.322856516E9,1.354228289E9,1.384605041E9,1.413496627E9,1.439634332E9,1.463747757E9,1.486397441E9,1.509073118E9,1.5322617E9,1.555055871E9,1.578588756E9,1.60446032E9,1.630462798E9,1.655263328E9,1.680467718E9,1.706848439E9,1.734703629E9,1.762936165E9,1.790597018E9,1.817735909E9,1.844189975E9,1.869074614E9,1.893258583E9,1.917389243E9,1.941185229E9,1.964830092E9,1.988067577E9,2.010443502E9,2.030912462E9,2.050149617E9,2.068682053E9,2.086144389E9,2.102761941E9,2.118747885E9,2.134573057E9,2.150688938E9,2.167046538E9,2.183472438E9,2.199148703E9,2.214613815E9,2.230826576E9,2.249081393E9,2.267072102E9,2.284385542E9,2.300844269E9,2.317076058E9,2.33347552E9,2.347576325E9,2.35976219E9,2.369420882E9,2.375117716E9,2.379617118E9,2.384441485E9,2.388319494E9
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MEA,WB_WDI_SP_POP_TOTL,_T,_T,_T,PS,_Z,_Z,_Z,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,"Middle East, North Africa, Afghanistan & Pakistan","Population, total",Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1.57933392E8,1.62068656E8,1.66390935E8,1.70881281E8,1.75548682E8,1.80361095E8,1.85366083E8,1.90664582E8,1.96098319E8,2.01742643E8,2.0756965E8,2.1343835E8,2.19448355E8,2.25808044E8,2.32392106E8,2.39405806E8,2.46821883E8,2.54463059E8,2.62393904E8,2.70666E8,2.79347788E8,2.88391729E8,2.97671219E8,3.07301861E8,3.17366458E8,3.27681501E8,3.38209596E8,3.48933449E8,3.59728415E8,3.70724431E8,3.83279026E8,3.94251647E8,4.05847278E8,4.17150344E8,4.28117445E8,4.3896886E8,4.49859387E8,4.60864078E8,4.72047033E8,4.83430509E8,4.94850317E8,5.06478256E8,5.18193093E8,5.30338988E8,5.43086512E8,5.56210211E8,5.69898499E8,5.83743828E8,5.97799097E8,6.12128501E8,6.24828664E8,6.3905387E8,6.53273442E8,6.67464006E8,6.80716578E8,6.94232973E8,7.07023525E8,7.18887744E8,7.30362334E8,7.42714463E8,7.56405281E8,7.67578451E8,7.82349366E8,7.97801454E8,8.13146136E8
